Parametri	coerenti	con	TOOLBOX	-	azzerate	distorsioni			err		diff (toolbox no dist),(non coerenti)					
image	5.00	91,083	0,751651	179,755	0,758943	-0,778502	41,9454	20			-0,2358	1,250247	0,449	-0,724077	-0,611488	0,028
image	6.00	91,1062	0,671547	179,81	0,758484	-0,779459	41,9431	20			-0,2317	1,156083	0,412	-0,723186	-0,612418	0,0282
image	7.00	91,07	-1,64372	-177,807	0,815482	-1,24314	47,2539	20			-0,2206	0,53864	1,021	-0,801208	-0,697603	0,0077
image	8.00	91,0835	-1,26007	-177,74	0,817784	-1,23895	47,2606	20			-0,2208	0,48288	0,908	-0,800706	-0,698007	0,0068
image	9.00	91,0556	-1,60525	-177,898	0,815101	-1,24108	47,2262	20			-0,2213	0,60506	0,992	-0,801269	-0,696448	0,0118
image	10.00	91,039	-0,975345	-179,176	1,39233	-1,61192	52,6043	20			-0,3108	1,040235	-358,759	-0,88423	-0,782804	0,0603
image	11.00	91,0429	-1,37904	-179,136	1,39174	-1,61236	52,5555	20			-0,2972	0,9043	-358,619	-0,88458	-0,783269	0,0599
image	12.00	91,0384	-1,28395	-178,974	1,39127	-1,61064	52,5638	20			-0,2982	0,87991	-358,656	-0,88462	-0,783506	0,0556
image	13.00	90,8827	2,55074	-177,24	2,9164	-1,67158	58,1954	20			-0,1564	2,837597	-356,566	-0,99768	-0,884763	0,3243
image	14.00	90,872	2,35311	-176,698	2,90905	-1,67446	58,1805	20			-0,1455	2,3875735	-356,394	-0,99991	-0,887667	0,3097
image	15.00	91,0638	-0,599362	-176,664	0,842005	-2,29559	63,2283	20			0,0295	2,210838	-352,518	-1,093035	-0,96285	0,378
image	16.00	91,0927	-0,514659	-176,592	0,842196	-2,29675	63,2268	20			0,0222	2,120981	-352,431	-1,093834	-0,96301	0,3703
image	17.00	90,4755	5,37522	-170,099	0,828059	-2,9118	72,842	20			-0,6936	2,65268	1,438	-1,262571	-1,04344	-0,4614
image	18.00	90,4891	5,28693	-170,01	0,827238	-2,91333	72,8573	20			-0,6817	2,54065	1,403	-1,262552	-1,04414	-0,4583
image	19.00	91,1417	-2,55044	-173,047	-0,0452663	-3,66392	83,5766	20			0,1281	-3,387995	-346,595	-1,4664163	-1,24152	-0,2752
image	20.00	91,1049	-2,09407	-173,166	-0,0416275	-3,66483	83,6675	20			0,0841	-3,0681	-346,348	-1,4672975	-1,24347	-0,1981
image	21.00	91,3402	-2,17419	-171,105	-0,817854	-4,49463	93,5198	20			0,2145	-0,27647	-350,752	-1,608223	-1,35866	-1,0097
image	22.00	91,4016	-2,17812	-170,571	-0,816969	-4,49486	93,4911	20			-0,0001	0,29256	3,62	-1,580818	-1,36051	-0,8489
image	23.00	91,1093	-1,75535	-172,178	-0,76695	-5,19336	104,792	20			-0,3252	2,50788	-0,997	-1,80957	-1,53885	-1,151
image	24.00.00	91,1697	-1,79584	-171,765	-0,764183	-5,18993	104,757	20			-0,369	2,698	-1,011	-1,807643	-1,53868	-1,116
image	25.00.00	91,2293	10,7726	-170,411	-1,3657	-5,96189	115,135	20			-0,0192	17,49635	-341,945	-2,057819	-1,62282	-1,729
image	26.00.00	91,2112	10,3669	-170,159	-1,36651	-5,96303	115,221	20			-0,0882	16,9355	-342,057	-2,057032	-1,624	-1,773
image	27.00.00	91,5964	-2,73046	-169,989	-0,974039	-6,87608	125,415	20			-0,0646	0,89313	-1,005	-2,083519	-1,98087	0,036
image	28.00.00	91,9622	-4,46368	-169,281	-0,963579	-6,86183	125,017	20			-0,0673	0,78861	-0,912	-2,076239	-1,97454	0,024
image	29.00.00	91,2652	4,32623	-169,097	2,55936	4,80953	136,771	20			-0,7643	9,57852	-0,728	1,4467	9,69682	11,778
image	30.00.00	91,2646	4,80771	-168,63	2,55425	4,80149	136,5	20			-0,2556	2,18199	-1,319	-2,2897	-1,98965	-0,25
image	31.00.00	91,7362	-6,58285	-165,411	2,23159	5,22922	146,131	20			-0,0228	-0,45393	-1,304	-2,43404	-2,12715	-0,001
image	32.00.00	92,0112	-7,75027	-165,248	2,23181	5,21534	145,733	20			-0,046	-0,3814	-1,121	-2,4307	-2,12518	-0,083
